playerShort,player,club,leagueCountry,birthday,height,weight,position,skin_colour,games,victories,ties,defeats,goals,yellowCards,yellowReds,redCards,english,german,french,spanish,birthYear
diego, Diego,VfL Wolfsburg,Germany,28.02.1985,173.0,73.0,Attacking Midfielder,0.25,400,197,86,117,109,83,1,1,0,1,0,0,1985
diego-alves, Diego Alves,Valencia CF,Spain,24.06.1985,188.0,85.0,Goalkeeper,0.375,233,81,62,90,0,25,0,1,0,0,0,1,1985
diego-benaglio,Diego Benaglio,VfL Wolfsburg,Germany,08.09.1983,194.0,89.0,Goalkeeper,0.25,371,157,87,127,0,20,0,2,0,1,0,0,1983
diego-buonanotte,Diego Buonanotte,Málaga CF,Spain,19.04.1988,161.0,60.0,Attacking Midfielder,0.25,193,65,52,76,33,48,0,1,0,0,0,1,1988
diego-castro, Diego Castro,Getafe CF,Spain,02.07.1982,174.0,67.0,Left Winger,0.25,200,63,48,89,38,30,1,0,0,0,0,1,1982
diego-colotto,Diego Colotto,Espanyol Barcelona,Spain,10.03.1981,184.0,83.0,Center Back,0.25,365,136,101,128,31,76,6,4,0,0,0,1,1981
diego-contento,Diego Contento,Bayern München,Germany,01.05.1990,177.0,74.0,Left Fullback,0.25,127,79,23,25,7,5,0,0,0,1,0,0,1990
diego-costa, Diego Costa,Atlético Madrid,Spain,07.10.1988,189.0,81.0,Center Forward,0.25,232,113,53,66,93,68,1,4,0,0,0,1,1988
diego-godin,Diego Godín,Atlético Madrid,Spain,16.02.1986,185.0,75.0,Center Back,0.25,359,190,79,90,19,76,1,7,0,0,0,1,1986
diego-ifran,Diego Ifrán,Real Sociedad,Spain,08.06.1987,174.0,76.0,Center Forward,0.375,86,30,21,35,27,12,0,0,0,0,0,1,1987
diego-lopez, Diego López,Sevilla FC,Spain,03.11.1981,196.0,89.0,Goalkeeper,0.125,300,150,68,82,0,20,0,3,0,0,0,1,1981
diego-lugano,Diego Lugano,Paris Saint-Germain,France,02.11.1980,188.0,88.0,Center Back,0.25,329,176,82,71,36,107,1,4,0,0,1,0,1980
diego-perotti,Diego Perotti,Sevilla FC,Spain,26.07.1988,179.0,77.0,Right Midfielder,0.25,185,78,40,67,18,27,0,0,0,0,0,1,1988
diego-seoane_2, Diego Seoane,Deportivo La Coruña,Spain,26.04.1988,180.0,75.0,Left Fullback,0.125,58,27,9,22,0,10,0,0,0,0,0,1,1988
dimitar-berbatov,Dimitar Berbatov,Fulham FC,England,30.01.1981,188.0,79.0,Center Forward,0.25,580,281,129,170,258,40,0,1,1,0,0,0,1981
dimitri-foulquier,Dimitri Foulquier,Stade Rennes,France,23.03.1993,183.0,77.0,Right Fullback,0.75,63,31,7,25,1,5,1,0,0,0,1,0,1993
dimitri-payet,Dimitri Payet,Lille OSC,France,29.03.1987,174.0,70.0,Right Midfielder,0.5,311,120,82,109,55,31,1,1,0,0,1,0,1987
djibril-cisse,Djibril Cissé,Queens Park Rangers,England,12.08.1981,183.0,78.0,Center Forward,1.0,545,263,115,167,222,47,0,3,1,0,0,0,1981
djibril-sidibe_2,Djibril Sidibé,Lille OSC,France,29.07.1992,182.0,71.0,Right Fullback,0.75,80,42,21,17,3,15,1,0,0,0,1,0,1992
djiby-fall,Djiby Fall,SpVgg Greuther Fürth,Germany,20.04.1985,187.0,75.0,Center Forward,1.0,123,46,32,45,53,19,0,1,0,1,0,0,1985
dominguez_4, Domínguez,Bor. Mönchengladbach,Germany,16.05.1989,189.0,83.0,Left Fullback,0.25,196,89,48,59,10,46,3,0,0,1,0,0,1989
dominik-reinhardt,Dominik Reinhardt,FC Augsburg,Germany,19.12.1984,188.0,78.0,Right Fullback,0.0,215,81,58,76,2,27,0,0,0,1,0,0,1984
doni, Doni,Liverpool FC,England,22.10.1979,194.0,89.0,Goalkeeper,0.25,218,118,47,53,0,12,0,2,1,0,0,0,1979
dorado_2, Dorado,Real Betis,Spain,10.07.1982,180.0,69.0,Left Fullback,0.25,191,80,50,61,3,19,0,2,0,0,0,1,1982
dorge-kouemaha,Dorge Kouemaha,Eintracht Frankfurt,Germany,28.06.1983,188.0,86.0,Center Forward,0.875,188,74,58,56,56,31,1,2,0,1,0,0,1983
du-ri-cha,Du-Ri Cha,Fortuna Düsseldorf,Germany,25.07.1980,181.0,81.0,Right Fullback,0.375,364,150,74,140,22,23,0,2,0,1,0,0,1980
duda_2, Duda,Málaga CF,Spain,27.06.1980,175.0,71.0,Left Midfielder,0.25,330,131,80,119,37,77,3,5,0,0,0,1,1980
dudu-aouate,Dudu Aouate,RCD Mallorca,Spain,17.10.1977,188.0,87.0,Goalkeeper,0.25,393,135,101,157,0,29,1,3,0,0,0,1,1977
dusan-djuric,Dusan Đurić,Valenciennes FC,France,16.09.1984,180.0,73.0,Attacking Midfielder,0.25,171,80,34,57,33,16,0,0,0,0,1,0,1984
echaide, Echaide,CA Osasuna,Spain,05.01.1988,179.0,78.0,Center Back,0.0,103,33,28,42,3,24,2,1,0,0,0,1,1988
eden-hazard,Eden Hazard,Chelsea FC,England,07.01.1991,170.0,69.0,Right Winger,0.25,327,168,85,74,76,16,0,1,1,0,0,0,1991
edgar-prib,Edgar Prib,SpVgg Greuther Fürth,Germany,15.12.1989,180.0,77.0,Center Midfielder,0.0,186,72,46,68,18,32,1,1,0,1,0,0,1989
edin-dzeko,Edin Džeko,Manchester City,England,17.03.1986,193.0,84.0,Center Forward,0.25,359,187,70,102,182,41,0,0,1,0,0,0,1986
edu-oriol, Edu Oriol,Real Zaragoza,Spain,05.11.1986,176.0,72.0,Left Winger,0.0,76,32,17,27,8,7,0,0,0,0,0,1,1986
edu_4, Edu,SpVgg Greuther Fürth,Germany,30.11.1981,185.0,90.0,Center Forward,0.0,221,80,60,81,51,28,0,0,0,1,0,0,1981
ekiza, Ekiza,Athletic Bilbao,Spain,06.03.1988,180.0,73.0,Center Back,0.125,82,35,19,28,0,8,1,0,0,0,0,1,1988
eliseu, Eliseu,Málaga CF,Spain,01.10.1983,177.0,74.0,Left Midfielder,0.75,222,84,52,86,27,49,1,3,0,0,0,1,1983
eljero-elia,Eljero Elia,Werder Bremen,Germany,13.02.1987,176.0,77.0,Left Winger,0.75,296,119,76,101,36,28,1,0,0,1,0,0,1987
elkin-soto,Elkin Soto,1. FSV Mainz 05,Germany,04.08.1980,179.0,76.0,Defensive Midfielder,0.0,237,106,57,74,18,23,1,1,0,1,0,0,1980
elustondo_2, Elustondo,Real Sociedad,Spain,18.03.1987,184.0,79.0,Defensive Midfielder,0.0,123,48,35,40,5,18,2,0,0,0,0,1,1987
emanuel-pogatetz,Emanuel Pogatetz,VfL Wolfsburg,Germany,16.01.1983,189.0,90.0,Center Back,0.25,429,152,114,163,13,79,2,3,0,1,0,0,1983
emiliano-armenteros,Emiliano Armenteros,CA Osasuna,Spain,18.01.1986,179.0,78.0,Left Midfielder,0.5,259,93,64,102,46,54,1,4,0,0,0,1,1986
emir-spahic,Emir Spahić,Sevilla FC,Spain,18.08.1980,185.0,80.0,Center Back,0.25,266,111,66,89,13,84,5,3,0,0,0,1,1980
emmanuel-adebayor,Emmanuel Adebayor,Tottenham Hotspur,England,26.02.1984,190.0,75.0,Center Forward,1.0,450,234,116,100,170,43,1,5,1,0,0,0,1984
emmerson-boyce,Emmerson Boyce,Wigan Athletic,England,24.09.1979,183.0,78.0,Center Back,1.0,358,120,88,150,14,33,1,0,1,0,0,0,1979
emre-beloezoglu,Emre Belözoğlu,Atlético Madrid,Spain,07.09.1980,170.0,68.0,Center Midfielder,0.25,465,241,103,121,43,100,5,4,0,0,0,1,1980
emre-can,Emre Can,Bayern München,Germany,12.01.1994,184.0,82.0,Center Midfielder,0.5,117,60,23,34,11,34,1,0,0,1,0,0,1994
enda-stevens,Enda Stevens,Aston Villa,England,09.07.1990,183.0,74.0,Left Fullback,0.125,49,12,9,28,0,8,0,0,1,0,0,0,1990
eren-derdiyok,Eren Derdiyok,1899 Hoffenheim,Germany,12.06.1988,190.0,83.0,Center Forward,0.375,288,133,71,84,70,27,1,0,0,1,0,0,1988
eric-abidal,Éric Abidal,FC Barcelona,Spain,11.09.1979,186.0,75.0,Left Fullback,0.75,457,268,107,82,2,34,0,4,0,0,0,1,1979
erik-wille,Erik Wille,Eintracht Frankfurt,Germany,28.03.1993,183.0,74.0,Center Back,0.0,104,42,13,49,16,14,0,2,0,1,0,0,1993
erwin-hoffer,Erwin Hoffer,Eintracht Frankfurt,Germany,14.04.1987,177.0,72.0,Center Forward,0.125,274,120,61,93,89,23,0,0,0,1,0,0,1987
etienne-didot,Etienne Didot,Toulouse FC,France,24.07.1983,175.0,65.0,Defensive Midfielder,0.125,347,133,94,120,14,44,3,0,0,0,1,0,1983
eugen-polanski,Eugen Polanski,1. FSV Mainz 05,Germany,17.03.1986,183.0,73.0,Attacking Midfielder,0.0,254,96,63,95,9,65,1,2,0,1,0,0,1986
evaldo, Evaldo,Deportivo La Coruña,Spain,18.03.1982,183.0,80.0,Left Fullback,0.75,210,98,51,61,6,28,1,0,0,0,0,1,1982
ever-banega,Éver Banega,Valencia CF,Spain,29.06.1988,174.0,71.0,Defensive Midfielder,0.125,310,160,75,75,15,75,4,1,0,0,0,1,1988
ezequiel-lavezzi,Ezequiel Lavezzi,Paris Saint-Germain,France,03.05.1985,173.0,71.0,Center Forward,0.25,396,195,97,104,97,62,0,4,0,0,1,0,1985
ezequiel_3, Ezequiel,SC Freiburg,Germany,12.01.1991,169.0,59.0,Left Midfielder,0.25,85,36,19,30,3,11,0,1,0,1,0,0,1991
fabian-giefer,Fabian Giefer,Fortuna Düsseldorf,Germany,17.05.1990,196.0,93.0,Goalkeeper,0.0,136,48,33,55,0,9,0,2,0,1,0,0,1990
fabian-johnson,Fabian Johnson,1899 Hoffenheim,Germany,11.12.1987,178.0,64.0,Left Fullback,0.25,276,95,75,106,12,8,0,0,0,1,0,0,1987
fabian-orellana,Fabián Orellana,Granada CF,Spain,27.01.1986,169.0,70.0,Right Winger,0.5,251,103,57,91,46,37,3,5,0,0,0,1,1986
fabien-audard,Fabien Audard,FC Lorient,France,28.03.1978,188.0,89.0,Goalkeeper,0.125,240,76,79,85,0,11,0,5,0,0,1,0,1978
fabien-camus,Fabien Camus,ESTAC Troyes,France,28.02.1985,176.0,68.0,Left Midfielder,0.25,267,104,65,98,36,28,3,1,0,0,1,0,1985
fabio-borini,Fabio Borini,Liverpool FC,England,23.03.1991,180.0,73.0,Center Forward,0.125,119,53,25,41,32,17,1,0,1,0,0,0,1991
fabio-coentrao, Fábio Coentrão,Real Madrid,Spain,11.03.1988,179.0,70.0,Left Fullback,0.375,242,149,38,55,16,51,5,1,0,0,0,1,1988
fabio_13, Fábio,Queens Park Rangers,England,09.07.1990,172.0,65.0,Left Fullback,0.0,94,47,18,29,4,14,0,2,1,0,0,0,1990
fabrice-abriel,Fabrice Abriel,OGC Nice,France,06.07.1979,176.0,69.0,Right Midfielder,0.5,259,105,79,75,13,16,0,0,0,0,1,0,1979
fabrice-begeorgi,Fabrice Begeorgi,AC Ajaccio,France,20.04.1987,177.0,74.0,Right Fullback,0.0,91,31,32,28,4,15,1,1,0,0,1,0,1987
fabrice-ehret,Fabrice Ehret,Évian Thonon Gaillard,France,28.09.1979,184.0,73.0,Left Midfielder,0.125,305,102,82,121,14,35,2,4,0,0,1,0,1979
fabricio-coloccini,Fabricio Coloccini,Newcastle United,England,22.01.1982,183.0,76.0,Center Back,0.25,463,192,110,161,18,75,4,3,1,0,0,0,1982
fagner, Fágner,VfL Wolfsburg,Germany,11.06.1989,168.0,67.0,Right Fullback,0.25,151,64,46,41,8,27,0,1,0,1,0,0,1989
fahid-ben-khalfallah,Fahid Ben Khalfallah,Girondins Bordeaux,France,09.10.1982,174.0,68.0,Right Midfielder,0.5,183,63,56,64,13,23,0,0,0,0,1,0,1982
fallou-diagne,Fallou Diagné,SC Freiburg,Germany,14.08.1989,185.0,75.0,Center Back,1.0,124,49,35,40,6,25,0,4,0,1,0,0,1989
federico-fazio,Federico Fazio,Sevilla FC,Spain,17.03.1987,195.0,90.0,Center Back,0.375,206,104,46,56,15,40,2,2,0,0,0,1,1987
federico-macheda,Federico Macheda,Manchester United,England,22.08.1991,185.0,72.0,Center Forward,0.0,112,39,21,52,19,11,0,0,1,0,0,0,1991
felipe-santana, Felipe Santana,Borussia Dortmund,Germany,17.03.1986,194.0,80.0,Center Back,0.75,176,92,41,43,14,19,1,0,0,1,0,0,1986
felipe_19, Felipe,Hannover 96,Germany,15.05.1987,193.0,85.0,Center Back,0.5,116,46,33,37,6,31,0,2,0,1,0,0,1987
felix-klaus,Felix Klaus,SpVgg Greuther Fürth,Germany,13.09.1992,179.0,79.0,Right Midfielder,0.0,147,64,32,51,29,20,0,0,0,1,0,0,1992
felix-kroos,Felix Kroos,Werder Bremen,Germany,12.03.1991,184.0,70.0,Attacking Midfielder,0.0,157,43,50,64,19,38,1,1,0,1,0,0,1991
fernando-gago,Fernando Gago,Valencia CF,Spain,10.04.1986,178.0,74.0,Defensive Midfielder,0.25,328,200,53,75,3,74,2,0,0,0,0,1,1986
fernando-navarro, Fernando Navarro,Sevilla FC,Spain,25.06.1982,176.0,69.0,Left Fullback,0.125,387,170,85,132,3,117,4,3,0,0,0,1,1982
fernando-torres, Fernando Torres,Chelsea FC,England,20.03.1984,183.0,70.0,Center Forward,0.125,596,313,135,148,238,74,5,1,1,0,0,0,1984
filip-daems,Filip Daems,Bor. Mönchengladbach,Germany,31.10.1978,181.0,79.0,Left Fullback,0.0,355,133,92,130,31,34,0,0,0,1,0,0,1978
florent-balmont,Florent Balmont,Lille OSC,France,02.02.1980,170.0,64.0,Defensive Midfielder,0.0,410,176,127,107,14,86,0,4,0,0,1,0,1980
florent-malouda,Florent Malouda,Chelsea FC,England,13.06.1980,181.0,73.0,Left Winger,0.625,604,338,137,129,105,64,3,0,1,0,0,0,1980
florian-hartherz,Florian Hartherz,Werder Bremen,Germany,29.05.1993,187.0,82.0,Left Fullback,0.125,97,53,23,21,3,10,0,0,0,1,0,0,1993
florian-marange,Florian Marange,Girondins Bordeaux,France,03.03.1986,176.0,70.0,Left Fullback,0.0,146,57,43,46,2,15,1,0,0,0,1,0,1986
foued-kadir,Foued Kadir,Valenciennes FC,France,05.12.1983,179.0,68.0,Attacking Midfielder,0.25,178,58,60,60,24,13,0,0,0,0,1,0,1983
francis-coquelin,Francis Coquelin,Arsenal FC,England,13.05.1991,178.0,73.0,Defensive Midfielder,0.5,108,50,23,35,2,9,2,1,1,0,0,0,1991
franck-beria,Franck Béria,Lille OSC,France,23.05.1983,180.0,72.0,Right Fullback,0.625,292,129,92,71,3,52,3,0,0,0,1,0,1983
franck-ribery,Franck Ribéry,Bayern München,Germany,07.04.1983,170.0,72.0,Left Midfielder,0.25,466,286,93,87,127,46,3,3,0,1,0,0,1983
franck-signorino,Franck Signorino,Stade Reims,France,19.09.1981,173.0,69.0,Left Fullback,0.0,255,72,75,108,3,35,1,0,0,0,1,0,1981
franco-di-santo,Franco Di Santo,Wigan Athletic,England,07.04.1989,194.0,78.0,Center Forward,0.25,177,52,52,73,21,20,0,1,1,0,0,0,1989
franco-vazquez,Franco Vázquez,Rayo Vallecano,Spain,22.02.1989,187.0,81.0,Attacking Midfielder,0.0,71,29,18,24,10,8,0,0,0,0,0,1,1989
franco-zuculini,Franco Zuculini,Real Zaragoza,Spain,05.09.1990,174.0,69.0,Defensive Midfielder,0.25,136,52,29,55,5,25,2,1,0,0,0,1,1990
francois-clerc,François Clerc,AS Saint-Étienne,France,18.04.1983,186.0,77.0,Right Fullback,0.0,247,122,67,58,9,30,0,0,0,0,1,0,1983
frank-lampard,Frank Lampard,Chelsea FC,England,20.06.1978,183.0,77.0,Center Midfielder,0.125,914,523,197,194,265,86,2,2,1,0,0,0,1978
frazier-campbell,Frazier Campbell,Sunderland AFC,England,13.09.1987,172.0,82.0,Center Forward,0.75,194,74,47,73,45,21,1,0,1,0,0,0,1987
frederic-piquionne,Frédéric Piquionne,West Ham United,England,08.12.1978,188.0,77.0,Center Forward,0.5,389,132,118,139,82,32,3,4,1,0,0,0,1978
gabi, Gabi,Atlético Madrid,Spain,10.07.1983,180.0,74.0,Defensive Midfielder,0.0,383,186,85,112,25,112,7,0,0,0,0,1,1983
gabriel-agbonlahor,Gabriel Agbonlahor,Aston Villa,England,13.10.1986,178.0,76.0,Right Winger,0.5,342,131,97,114,81,39,0,0,1,0,0,0,1986
gabriel-obertan,Gabriel Obertan,Newcastle United,England,26.02.1989,186.0,79.0,Right Winger,0.25,168,85,38,45,7,4,0,0,1,0,0,0,1989
gabriel-tamas,Gabriel Tamaş,West Bromwich Albion,England,09.11.1983,188.0,79.0,Center Back,0.0,278,108,66,104,9,59,4,3,1,0,0,0,1983
gabriel-torje,Gabriel Torje,Granada CF,Spain,22.11.1989,167.0,64.0,Right Midfielder,0.25,265,115,68,82,43,44,0,0,0,0,0,1,1989
gael-clichy,Gaël Clichy,Manchester City,England,26.07.1985,176.0,72.0,Left Fullback,0.5,389,237,86,66,2,49,1,0,1,0,0,0,1985
gael-danic,Gaël Danic,Valenciennes FC,France,19.11.1981,176.0,65.0,Left Midfielder,0.0,267,87,78,102,33,20,1,1,0,0,1,0,1981
gaetan-bong,Gaëtan Bong,Valenciennes FC,France,25.04.1988,183.0,74.0,Left Fullback,0.75,188,73,50,65,3,28,0,0,0,0,1,0,1988
galan_5, Galán,Espanyol Barcelona,Spain,17.06.1986,182.0,75.0,Right Fullback,0.375,94,25,23,46,2,30,3,1,0,0,0,1,1986
galvez_2, Gálvez,Rayo Vallecano,Spain,06.06.1989,188.0,79.0,Center Back,0.25,73,31,9,33,4,35,2,0,0,0,0,1,1989
gareth-bale,Gareth Bale,Tottenham Hotspur,England,16.07.1989,183.0,74.0,Left Winger,0.25,336,162,78,96,93,32,0,1,1,0,0,0,1989
gareth-barry,Gareth Barry,Manchester City,England,23.02.1981,184.0,78.0,Center Midfielder,0.125,679,314,170,195,65,105,2,2,1,0,0,0,1981
garra-dembele,Garra Dembélé,SC Freiburg,Germany,21.02.1986,187.0,79.0,Center Forward,1.0,99,39,21,39,45,24,2,0,0,1,0,0,1986
garrido_2, Garrido,Norwich City,England,15.03.1985,178.0,75.0,Left Fullback,0.375,218,84,47,87,4,32,0,0,1,0,0,0,1985
garry-bocaly,Garry Bocaly,Montpellier HSC,France,19.04.1988,180.0,74.0,Right Fullback,0.5,137,61,35,41,7,29,0,3,0,0,1,0,1988
gary-cahill,Gary Cahill,Chelsea FC,England,19.12.1985,188.0,71.0,Center Back,0.25,360,153,76,131,31,43,0,4,1,0,0,0,1985
gary-caldwell,Gary Caldwell,Wigan Athletic,England,12.04.1982,180.0,74.0,Center Back,0.0,437,174,101,162,17,69,2,7,1,0,0,0,1982
gary-medel,Gary Medel,Sevilla FC,Spain,03.08.1987,171.0,76.0,Defensive Midfielder,0.125,300,121,74,105,28,77,6,10,0,0,0,1,1987
gavilan, Gavilán,Getafe CF,Spain,12.05.1985,178.0,71.0,Left Midfielder,0.0,225,88,54,83,15,28,2,0,0,0,0,1,1985
gennaro-bracigliano,Gennaro Bracigliano,Olympique Marseille,France,01.03.1980,183.0,82.0,Goalkeeper,0.25,159,52,49,58,0,9,0,1,0,0,1,0,1980
geoffrey-dernis,Geoffrey Dernis,Stade Brest,France,24.12.1980,171.0,66.0,Left Midfielder,0.25,277,116,66,95,29,46,0,1,0,0,1,0,1980
geoffrey-jourdren,Geoffrey Jourdren,Montpellier HSC,France,04.02.1986,181.0,73.0,Goalkeeper,0.0,190,79,53,58,0,10,0,1,0,0,1,0,1986
geoffrey-kondogbia,Geoffrey Kondogbia,Sevilla FC,Spain,15.02.1993,188.0,76.0,Defensive Midfielder,0.875,121,57,27,37,6,21,0,1,0,0,0,1,1993
georg-niedermeier,Georg Niedermeier,VfB Stuttgart,Germany,26.02.1986,188.0,74.0,Right Fullback,0.0,226,90,66,70,9,47,3,1,0,1,0,0,1986
george-mccartney,George McCartney,West Ham United,England,29.04.1981,180.0,74.0,Left Fullback,0.0,410,157,96,157,2,64,1,1,1,0,0,0,1981
gerald-asamoah,Gerald Asamoah,SpVgg Greuther Fürth,Germany,03.10.1978,180.0,85.0,Right Winger,1.0,537,259,125,153,91,76,2,2,0,1,0,0,1978
german-lux,Germán Lux,Deportivo La Coruña,Spain,07.06.1982,186.0,78.0,Goalkeeper,0.125,162,66,46,50,0,13,0,0,0,0,0,1,1982
geromel, Geromel,RCD Mallorca,Spain,21.09.1985,190.0,84.0,Center Back,0.0,201,61,46,94,7,41,2,1,0,0,0,1,1985
gerrit-wegkamp,Gerrit Wegkamp,Fortuna Düsseldorf,Germany,13.04.1993,193.0,82.0,Center Forward,0.0,98,39,24,35,30,0,0,0,0,1,0,0,1993
gervinho, Gervinho,Arsenal FC,England,27.05.1987,179.0,68.0,Right Winger,0.75,341,157,83,101,88,32,0,2,1,0,0,0,1987
gianni-bruno,Gianni Bruno,Lille OSC,France,19.08.1991,180.0,74.0,Center Forward,0.25,63,17,20,26,12,11,0,1,0,0,1,0,1991
gibril-sankoh,Gibril Sankoh,FC Augsburg,Germany,15.05.1983,186.0,80.0,Center Back,1.0,245,102,58,85,1,40,2,2,0,1,0,0,1983
giorgios-karagounis,Giorgios Karagounis,Fulham FC,England,06.03.1977,176.0,83.0,Attacking Midfielder,0.0,441,223,103,115,37,66,1,1,1,0,0,0,1977
giovani-dos-santos,Giovani Dos Santos,RCD Mallorca,Spain,11.05.1989,175.0,74.0,Right Winger,0.75,251,109,57,85,53,20,0,0,0,0,0,1,1989
giovanni-sio,Giovanni Sio,FC Augsburg,Germany,31.03.1989,181.0,77.0,Left Midfielder,0.75,125,53,36,36,35,30,1,2,0,1,0,0,1989
glen-johnson,Glen Johnson,Liverpool FC,England,23.08.1984,178.0,70.0,Right Fullback,0.625,416,219,93,104,17,59,2,0,1,0,0,0,1984
glenn-loovens,Glenn Loovens,Real Zaragoza,Spain,22.09.1983,190.0,83.0,Center Back,0.0,287,136,62,89,11,51,3,1,0,0,0,1,1983
glenn-whelan,Glenn Whelan,Stoke City,England,13.01.1984,178.0,76.0,Center Midfielder,0.0,412,156,107,149,23,65,1,1,1,0,0,0,1984
gomes, Gomes,Tottenham Hotspur,England,15.02.1981,191.0,82.0,Goalkeeper,0.375,332,188,68,76,0,12,0,1,1,0,0,0,1981
goni_3, Goni,Real Zaragoza,Spain,12.10.1988,186.0,82.0,Center Back,0.125,45,13,9,23,0,14,1,0,0,0,0,1,1988
gonzalo-castro,Gonzalo Castro,Bayer Leverkusen,Germany,11.06.1987,171.0,74.0,Right Midfielder,0.0,371,177,78,116,34,76,3,1,0,1,0,0,1987
gonzalo-higuain,Gonzalo Higuaí­n,Real Madrid,Spain,10.12.1987,184.0,82.0,Center Forward,0.125,377,245,66,66,177,39,1,1,0,0,0,1,1987
gonzalo-jara,Gonzalo Jara,West Bromwich Albion,England,29.08.1985,178.0,71.0,Center Back,0.25,253,102,64,87,6,45,1,6,1,0,0,0,1985
goran-popov,Goran Popov,West Bromwich Albion,England,02.10.1984,189.0,89.0,Left Fullback,0.125,201,84,43,74,6,40,2,1,1,0,0,0,1984
gotoku-sakai,Gōtoku Sakai,VfB Stuttgart,Germany,14.03.1991,176.0,74.0,Right Fullback,0.0,172,70,46,56,2,13,0,1,0,1,0,0,1991
granero_2, Granero,Queens Park Rangers,England,02.07.1987,179.0,77.0,Center Midfielder,0.0,213,112,42,59,20,47,0,1,1,0,0,0,1987
granit-xhaka,Granit Xhaka,Bor. Mönchengladbach,Germany,27.09.1992,185.0,82.0,Center Midfielder,0.125,149,78,37,34,8,27,1,0,0,1,0,0,1992
gregory-bourillon,Gregory Bourillon,FC Lorient,France,01.07.1984,187.0,76.0,Center Back,0.25,285,105,83,97,5,36,2,2,0,0,1,0,1984
gregory-pujol,Grégory Pujol,Valenciennes FC,France,25.01.1980,183.0,70.0,Center Forward,0.25,310,94,97,119,76,15,0,1,0,0,1,0,1980
gregory-sertic,Grégory Sertić,Girondins Bordeaux,France,05.08.1989,181.0,69.0,Left Midfielder,0.125,138,63,40,35,5,15,1,0,0,0,1,0,1989
gregory-van-der-wiel,Gregory van der Wiel,Paris Saint-Germain,France,03.02.1988,172.0,69.0,Center Back,0.5,276,175,54,47,14,33,3,0,0,0,1,0,1988
guaita, Guaita,Valencia CF,Spain,18.02.1987,190.0,80.0,Goalkeeper,0.25,141,62,41,38,0,14,0,0,0,0,0,1,1987
guillaume-hoarau,Guillaume Hoarau,Paris Saint-Germain,France,05.03.1984,191.0,80.0,Center Forward,0.5,175,71,56,48,52,15,1,0,0,0,1,0,1984
gurpegi, Gurpegi,Athletic Bilbao,Spain,19.08.1980,181.0,77.0,Defensive Midfielder,0.125,311,117,82,112,20,92,4,0,0,0,0,1,1980
gustavo-cabral,Gustavo Cabral,Celta Vigo,Spain,14.10.1985,184.0,82.0,Center Back,0.5,290,109,69,112,12,70,4,5,0,0,0,1,1985
gustavo-munua,Gustavo Munúa,Levante UD,Spain,27.01.1978,188.0,87.0,Goalkeeper,0.5,224,75,55,94,1,24,0,0,0,0,0,1,1978
guy-demel,Guy Demel,West Ham United,England,13.06.1981,187.0,83.0,Right Fullback,1.0,371,177,87,107,12,61,1,1,1,0,0,0,1981
guy-ndy-assembe,Guy N'Dy Assembe,AS Nancy,France,28.02.1986,184.0,79.0,Goalkeeper,0.875,132,43,45,44,0,3,0,0,0,0,1,0,1986
gylfi-sigurdsson,Gylfi Sigurðsson,Tottenham Hotspur,England,08.09.1989,186.0,77.0,Attacking Midfielder,0.0,227,98,51,78,64,15,0,0,1,0,0,0,1989
hajime-hosogai,Hajime Hosogai,Bayer Leverkusen,Germany,10.06.1986,177.0,69.0,Defensive Midfielder,0.25,192,84,39,69,10,31,0,0,0,1,0,0,1986
hanno-balitsch,Hanno Balitsch,1. FC Nürnberg,Germany,02.01.1981,182.0,80.0,Defensive Midfielder,0.0,455,181,103,171,24,104,1,0,0,1,0,0,1981
hassan-yebda,Hassan Yebda,Granada CF,Spain,14.05.1984,187.0,80.0,Center Midfielder,0.0,168,70,36,62,8,35,1,0,0,0,0,1,1984
hatem-ben-arfa,Hatem Ben Arfa,Newcastle United,England,07.03.1987,177.0,69.0,Left Midfielder,0.25,261,123,64,74,39,15,0,1,1,0,0,0,1987
havard-nordtveit,Håvard Nordtveit,Bor. Mönchengladbach,Germany,21.06.1990,188.0,85.0,Defensive Midfielder,0.0,184,72,46,66,7,17,1,0,0,1,0,0,1990
hector-moreno,Héctor Moreno,Espanyol Barcelona,Spain,17.01.1988,184.0,80.0,Center Back,0.375,302,130,76,96,16,65,0,3,0,0,0,1,1988
hedwiges-maduro,Hedwiges Maduro,Sevilla FC,Spain,13.02.1985,183.0,84.0,Defensive Midfielder,0.375,265,140,57,68,15,42,3,0,0,0,0,1,1985
heiko-butscher,Heiko Butscher,Eintracht Frankfurt,Germany,28.07.1980,189.0,86.0,Center Back,0.0,276,119,54,103,25,15,0,1,0,1,0,0,1980
heiko-westermann,Heiko Westermann,Hamburger SV,Germany,14.08.1983,190.0,87.0,Center Back,0.25,451,194,101,156,41,44,0,0,0,1,0,0,1983
heinrich-schmidtgal,Heinrich Schmidtgal,SpVgg Greuther Fürth,Germany,20.11.1985,174.0,78.0,Left Fullback,0.0,228,99,56,73,24,37,2,0,0,1,0,0,1985
heinz-mueller,Heinz Müller,1. FSV Mainz 05,Germany,30.05.1978,196.0,94.0,Goalkeeper,0.125,180,60,52,68,0,11,0,1,0,1,0,0,1978
helder-postiga, Hélder Postiga,Real Zaragoza,Spain,02.08.1982,182.0,74.0,Center Forward,0.25,394,172,95,127,96,58,2,1,0,0,0,1,1982
